Question_C7__1,Question_C7__2,Question_C7__3,Question_C7__4,Question_C7__12,Question_C7__6,Question_C7__7,Question_C7__8,Question_C7__17,Question_C7__18,Question_C7__11,Question_C7__16,Question_C7__20,Question_C7__22,Question_C7__25,Question_C7__26,Question_C7__27,Question_C7__28,Question_C7__29,Question_C7__30,Question_C7__31,Question_C7__32,Question_C7__23,Question_E1._,Question_E2._,Question_E3.,Question_E4._,Question_E5._,Question_E6._,Question_E9._
1,1,1,1,1,1,1,1, , ,1,1,1,1,1,1,1, ,1, ,1,1, ,2,2,3,45,3,2,1.5
1,1,1, ,1,1, ,1, , ,1,1,1,1, , , ,1, ,1, , , ,2,2,3, ,3,2,34
1,1,1,1,1, ,1,1, ,1,1,1,1,1, , , , , , , ,1, ,2,3,6,51,4,2,1.5
1,1,1,1,1,1,1,1, , ,1,1,1,1,1,1,1,1,1,1, ,1, ,2,2,3,48,3,2,3.5
1,1,1, ,1, , ,1, , ,1,1,1, ,1, , , , , , , , ,2,2,3,67,4,2,10
1, ,1, ,1,1, ,1, ,1,1,1,1,1,1, , , , , ,1,1, ,2,2,3,43,4,1,2
1,1,1, ,1,1, , ,1, ,1,1,1,1,1, ,1,1,1, , ,1, ,2,2,3,44,4,2,2
1, ,1,1,1,1,1, , ,1, , ,1,1,1, , ,1,1,1, , , ,1,2,3,43,4,1,18
1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,2,2,3, ,5,2,2
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , ,1, ,2,2,3,55,3,2,18
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,2,2,4,43,6,2,3
1, ,1, ,1, ,1, , , ,1,1,1,1,1, , , , , , ,1, ,2,2,3, ,4,1,19
1,1,1,1,1,1,1, , , ,1,1,1,1,1, , , ,1, , ,1, ,2,2,3,34,4,1,13
1,1,1, ,1,1, ,1, ,1,1,1,1,1,1, ,1, , , , ,1, ,2,2,3,38,3,2,10
1, ,1, ,1,1, , , , ,1,1,1,1, , , , , , , , , ,4,3,6,43,4,1,7
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,1, ,2,2,3,25,6,2,4
 , ,1,1, ,1,1, , , , ,1,1,1,1, , , ,1, , ,1, ,2,1,4,63,3,2,24
1,1,1,1,1,1,1, ,1, , , , ,1, , ,1, ,1, , , , ,2,2,3,30,4,2,2
 , ,1,1,1,1, , , , , ,1, ,1,1, , , , , , ,1, ,2,2,3,41,4,2,2
1, ,1,1,1,1, , , ,1,1, , ,1, , , ,1,1, , ,1, ,2,2,3,55,2,1,8
1,1,1, ,1,1,1, ,1, ,1,1,1,1,1, ,1,1, , , ,1, ,2,2,3,62,4,1,32
 ,1, , , , , , , , ,1, , , , , , , ,1, , , , ,2,2,3,44,4,2,2
1,1,1,1,1,1,1,1, , ,1, , ,1, , ,1, ,1, , ,1, ,2,2,3,66,3,2,2
 , , ,1,1, , , , , , , , ,1, , , , ,1, , , , ,2,2,3,53,2,2,2
1,1,1,1,1,1, , , ,1,1,1,1,1,1, , ,1,1, , ,1, ,2,2,3,71,3,2,2
1,1,1, ,1,1,1,1, , ,1,1,1,1,1, ,1, , , ,1, , ,2,2,3, ,4,1,7
1,1,1,1,1,1, , , , , , ,1,1,1, , , , , , ,1, ,2,2,3,53,3,2,2
1,1,1,1,1, ,1,1,1, ,1,1,1,1,1, ,1,1, , , ,1, ,1,2,3,41,1,2,2
1, ,1,1,1,1,1, , , ,1,1, , , , ,1, ,1, , , , ,2,3,6,68,3,2,35
1,1,1,1,1, , ,1, , ,1,1,1,1,1, , ,1,1, , ,1, ,2,2,3,43,4,1,22
 , , , , , , , , , , , , , , , , , , , , , , ,2,2,6,55,3,2,24
1,1,1, , , , ,1, , , ,1,1, , , , , , , ,1,1, ,2,2,3,38,3,2,3
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1, ,2,2,3,44,4,1,11
1,1,1,1,1, ,1,1, , ,1,1,1,1,1, ,1,1,1, , ,1, ,2,2,3,65,4,1,25
1,1,1,1,1,1,1,1,1, ,1,1,1,1,1, , ,1, , , ,1, ,2,2,3,32,4,1,10
1, ,1, , , ,1, , , ,1,1,1, ,1, ,1,1, , , ,1, ,2,2,3,45,6,1,13
1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1, ,1,1, ,2,2,3,47,4,1,20
1,1,1,1,1, ,1,1, , ,1,1,1,1, , , , ,1, , ,1, ,2,2,3,41,4,1,20
1, , , ,1,1, , , , ,1, , ,1,1, , , , , , ,1, ,2,2,3,45,4,1,15
 , ,1, ,1, , , , , ,1,1,1, ,1, ,1,1,1, , , , ,2,2,3,69,4,2,2.5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, , ,1, ,2,2,3,52,6,2,19
1,1,1,1,1,1, , , ,1,1,1,1,1,1, , , , , , ,1, ,2,2,5,41,4,1,5
